date,DN_450,DN_500,DN_550,DN_570,DN_600,DN_650,DN_610,DN_680,DN_730,DN_760,DN_810,DN_860,Plot
2022-02-14,0.135972636,0.164902382,0.19514399,0.163965935,0.147589986,0.112759403,0.145586897,0.129166231,0.121660305,0.108173077,0.090293736,0.085864427,Sant Antonio 1
2022-02-15,0.423947891,0.552192041,0.680963624,0.590883553,0.545288953,0.440823606,0.563138206,0.49681329,0.525869381,0.444848121,0.397267459,0.355149351,Sant Antonio 1
2022-02-16,0.896888829,0.968941928,1.227119039,1.013661364,1.159858015,1.019455253,1.065867961,0.927280326,1.344624682,1.298623252,1.687231492,1.683345067,Sant Antonio 1
2022-02-19,0.344080195,0.446771858,0.55409817,0.472825123,0.457093038,0.348411154,0.429683551,0.395726674,0.401823579,0.363308566,0.32121091,0.294931107,Sant Antonio 1
2022-02-20,0.708367199,0.944100464,1.020024484,0.908391981,0.727363308,0.565823606,0.652107977,0.878696061,0.823791349,0.818673514,0.756569088,0.799808911,Sant Antonio 1
2022-02-21,0.313939312,0.386478254,0.471027166,0.394464486,0.38345373,0.293287938,0.359670407,0.333820917,0.327343087,0.292832168,0.25926666,0.235592879,Sant Antonio 1
2022-02-22,0.873069629,0.895915514,0.946062143,0.859897096,0.878845435,0.700308042,0.796304721,0.681877547,0.949427481,0.872350306,1.072659606,1.048727748,Sant Antonio 1
2022-02-23,0.86635284,0.866080791,0.904308033,0.814359217,0.848097521,0.630836576,0.724775048,0.662809529,0.819815522,0.811707823,0.9256669,0.994041034,Sant Antonio 1
2022-02-25,0.909701526,1.177909822,1.5348461,1.384100183,1.16912131,0.844925422,1.024668891,0.994410197,1.08341285,0.953480114,0.791537616,0.701121392,Sant Antonio 1
2022-02-26,0.625056444,0.736630549,0.751719716,0.744278195,0.744333043,0.678988327,0.68092205,0.649096228,0.681456743,0.629370629,0.661654511,0.625314291,Sant Antonio 1
2022-02-27,1.088176194,1.372334848,1.773201586,1.593382222,1.353453107,0.994892996,1.199954504,1.111822171,1.380274597,1.186625874,1.043685683,0.911193805,Sant Antonio 1
2022-02-28,0.907387339,0.915514056,0.93797365,0.83328405,0.860941587,0.681420233,0.786068143,0.668947863,0.900127226,0.825502622,0.959386552,1.011264206,Sant Antonio 1
2022-03-01,0.959541226,0.974434513,0.9891279,0.875273523,0.883516004,0.717250324,0.818926297,0.703427019,0.939090331,0.822770979,0.997352383,0.961229005,Sant Antonio 1
2022-03-02,0.970039736,0.99952564,1.024542381,0.90824413,0.909982563,0.751945525,0.857597816,0.741301849,0.954198473,0.861013986,1.028574283,0.982097958,Sant Antonio 1
2022-03-04,0.552244198,0.757602237,0.859566282,0.811993613,0.72549508,0.641536965,0.631887575,0.747831992,0.742419423,0.699847028,0.643171146,0.628080056,Sant Antonio 1
2022-03-08,0.940745507,1.003270585,0.998673779,0.889984624,0.900874953,0.703793774,0.808689718,0.699117125,0.976463104,0.897481425,1.038190628,1.01478427,Sant Antonio 1
